Tanggal,Redmi,Xiaomi Flagship,POCO,Black Shark,Other,Sumber
2024-01-16,249099,29375,41908,6658,25458,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-17,290477,34254,48870,7764,29687,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-18,283454,33426,47688,7577,28969,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-19,239831,28282,40349,6411,24511,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-20,267260,31516,44964,7144,27314,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-21,277153,32683,46628,7408,28325,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-22,286185,33748,48147,7650,29248,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-23,238801,28160,40176,6383,24406,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-24,290003,34198,48790,7752,29639,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-25,272828,32173,45900,7293,27883,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-26,253376,29879,42628,6773,25895,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-27,249504,29423,41976,6669,25500,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-28,248269,29277,41769,6636,25373,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-29,275471,32485,46345,7363,28153,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-30,241500,28479,40630,6455,24682,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-01-31,260353,30702,43802,6959,26608,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-01,270823,31937,45563,7239,27678,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-02,257722,30392,43359,6889,26339,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-03,256154,30207,43095,6847,26179,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-04,282677,33335,47557,7556,28890,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-05,262807,30991,44214,7025,26859,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-06,294331,34709,49518,7867,30081,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-07,269630,31796,45362,7207,27557,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-08,264411,31181,44484,7068,27023,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-09,264532,31195,44505,7071,27035,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-10,254367,29996,42795,6799,25997,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-11,273237,32221,45969,7304,27925,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-12,255372,30115,42964,6826,26099,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-13,254634,30028,42839,6806,26024,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-14,280210,33044,47142,7490,28638,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-15,257189,30329,43269,6875,26285,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-16,265140,31267,44607,7087,27098,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-17,272259,32106,45805,7277,27825,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-18,295490,34845,49713,7898,30199,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-19,284457,33544,47857,7603,29072,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-20,288498,34021,48537,7711,29485,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-21,263058,31021,44257,7031,26885,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-22,282876,33358,47591,7561,28910,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-23,260376,30705,43805,6960,26611,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-24,247145,29144,41579,6606,25259,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-25,277015,32667,46605,7404,28311,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-26,274709,32395,46217,7343,28076,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-27,296204,34930,49833,7917,30272,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-28,248983,29361,41889,6655,25446,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-02-29,290207,34222,48824,7757,29659,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-01,282694,33337,47560,7556,28892,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-02,320831,37834,53976,8576,32789,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-03,266380,31413,44816,7120,27224,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-04,276751,32636,46560,7397,28284,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-05,298174,35162,50164,7970,30474,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-06,302588,35683,50907,8088,30925,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-07,278966,32897,46933,7457,28511,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-08,319217,37644,53705,8533,32624,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-09,314189,37051,52859,8398,32111,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-10,285259,33639,47992,7625,29154,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-11,278418,32832,46841,7442,28455,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-12,276482,32604,46515,7390,28257,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-13,271983,32073,45758,7270,27797,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-14,282082,33264,47457,7540,28829,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-15,300963,35491,50634,8045,30759,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-16,314101,37040,52844,8396,32101,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-17,269484,31779,45338,7203,27542,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-18,264378,31177,44479,7067,27020,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-19,321491,37912,54087,8593,32857,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-20,295724,34873,49752,7905,30223,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-21,283943,33484,47770,7590,29019,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-22,267138,31502,44943,7140,27302,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-23,321535,37917,54095,8594,32861,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-24,307066,36211,51660,8208,31382,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-25,298801,35236,50270,7987,30538,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-26,297562,35090,50062,7954,30411,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-27,295247,34817,49672,7892,30175,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-28,274441,32363,46172,7336,28048,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-29,283835,33471,47752,7587,29008,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-30,269822,31819,45395,7212,27576,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-03-31,313944,37022,52818,8392,32085,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-01,283309,33409,47664,7573,28954,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-02,263940,31125,44405,7055,26975,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-03,289346,34121,48679,7734,29572,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-04,272218,32101,45798,7276,27821,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-05,281265,33168,47320,7518,28746,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-06,278941,32894,46929,7456,28508,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-07,280527,33081,47196,7498,28670,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-08,291851,34416,49101,7801,29828,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-09,275249,32459,46308,7357,28131,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-10,274479,32368,46178,7337,28052,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-11,289795,34174,48755,7746,29617,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-12,261844,30878,44052,6999,26761,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-13,313960,37024,52820,8392,32087,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-14,303638,35806,51084,8116,31032,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-15,273719,32278,46050,7316,27974,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-16,311207,36699,52357,8318,31806,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-17,275291,32464,46315,7358,28135,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-18,283615,33445,47715,7581,28986,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-19,259507,30602,43659,6937,26522,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-20,290126,34213,48811,7755,29651,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-21,267849,31586,45063,7159,27375,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-22,287686,33925,48400,7690,29402,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-23,303528,35793,51065,8113,31021,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-24,268305,31640,45139,7172,27421,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-25,277073,32674,46615,7406,28317,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-26,306798,36179,51615,8201,31355,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-27,279767,32991,47068,7478,28593,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-28,297551,35089,50060,7953,30410,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-29,268547,31668,45180,7178,27446,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-04-30,298606,35213,50237,7982,30518,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-01,310480,36613,52235,8299,31731,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-02,308985,36437,51983,8259,31579,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-03,279120,32915,46959,7461,28526,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-04,303598,35802,51077,8115,31028,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-05,285877,33712,48096,7641,29217,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-06,272543,32140,45852,7285,27854,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-07,282855,33355,47587,7561,28908,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-08,279897,33007,47090,7482,28606,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-09,271554,32023,45686,7259,27753,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-10,286376,33771,48180,7655,29268,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-11,313583,36979,52757,8382,32049,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-12,293345,34593,49352,7841,29980,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-13,272196,32099,45794,7276,27819,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-14,269767,31812,45385,7211,27571,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-15,299908,35366,50456,8016,30651,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-16,269894,31827,45407,7214,27584,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-17,298530,35204,50224,7980,30510,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-18,318697,37582,53617,8519,32571,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-19,323306,38126,54393,8642,33042,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-20,279390,32947,47004,7468,28554,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-21,285779,33700,48079,7639,29207,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-22,298979,35257,50300,7992,30556,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-23,286787,33819,48249,7666,29310,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-24,270704,31923,45543,7236,27666,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-25,289270,34112,48667,7732,29564,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-26,318634,37575,53607,8517,32565,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-27,284048,33496,47788,7592,29030,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-28,318996,37617,53668,8527,32602,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-29,328620,38752,55287,8784,33585,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-30,310219,36582,52191,8292,31705,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-05-31,295285,34821,49678,7893,30178,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-01,308149,36338,51843,8237,31493,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-02,304912,35957,51298,8150,31162,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-03,265495,31308,44667,7097,27134,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-04,277250,32695,46644,7411,28335,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-05,302595,35683,50908,8088,30926,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-06,266793,31461,44885,7131,27267,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-07,264953,31244,44575,7082,27079,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-08,265346,31291,44642,7093,27119,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-09,276705,32630,46553,7396,28280,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-10,278997,32901,46938,7457,28514,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-11,320536,37799,53927,8568,32759,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-12,308507,36381,51903,8246,31530,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-13,305299,36002,51363,8161,31202,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-14,267112,31499,44939,7140,27299,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-15,265675,31330,44697,7101,27152,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-16,273712,32277,46049,7316,27974,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-17,304334,35888,51201,8135,31103,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-18,286616,33799,48220,7661,29293,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-19,291384,34361,49022,7789,29780,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-20,302954,35726,50969,8098,30962,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-21,283873,33476,47758,7588,29012,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-22,273251,32223,45972,7304,27927,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-23,274564,32378,46192,7339,28061,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-24,279121,32915,46959,7461,28527,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-25,313291,36945,52708,8374,32019,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-26,322521,38033,54261,8621,32962,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-27,270098,31851,45441,7220,27604,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-28,290239,34226,48830,7758,29663,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-29,270200,31863,45458,7222,27615,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-06-30,303894,35837,51127,8123,31058,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-01,306039,36090,51488,8180,31278,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-02,268944,31715,45247,7189,27486,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-03,294077,34679,49475,7861,30055,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-04,285152,33626,47974,7622,29143,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-05,281620,33210,47380,7528,28782,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-06,276672,32626,46547,7395,28276,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-07,294740,34757,49587,7878,30123,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-08,302514,35674,50895,8086,30917,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-09,282384,33300,47508,7548,28860,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-10,273743,32281,46054,7317,27977,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-11,254886,30057,42882,6813,26050,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-12,287756,33934,48412,7692,29409,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-13,302372,35657,50871,8082,30903,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-14,304498,35908,51228,8139,31120,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-15,270335,31879,45481,7226,27629,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-16,305513,36027,51399,8166,31224,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-17,302959,35726,50970,8098,30963,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-18,288773,34053,48583,7719,29513,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-19,306019,36087,51484,8180,31276,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-20,254164,29972,42760,6794,25976,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-21,296615,34978,49902,7928,30314,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
2024-07-22,257954,30419,43398,6895,26363,Estimasi berbasis total pengiriman Xiaomi 2024. Distribusi musiman industri. IDC. Canalys.
