Tanggal,Wilayah,Seri,Penjualan Harian (Unit),Sumber
2024-01-02,Middle East & Africa,POCO,3880,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Asia,Black Shark,4470,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Europe,Black Shark,1849,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Latin America,Black Shark,771,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Middle East & Africa,Black Shark,616,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Asia,Other,17089,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Europe,Other,7071,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Latin America,Other,2946,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-02,Middle East & Africa,Other,2357,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Asia,Redmi,162355,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Europe,Redmi,67181,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Latin America,Redmi,27992,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Middle East & Africa,Redmi,22394,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Asia,Xiaomi Flagship,19146,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Europe,Xiaomi Flagship,7922,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Latin America,Xiaomi Flagship,3301,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Middle East & Africa,Xiaomi Flagship,2641,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Asia,POCO,27314,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Europe,POCO,11303,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Latin America,POCO,4709,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Middle East & Africa,POCO,3768,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Asia,Black Shark,4340,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Europe,Black Shark,1796,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Latin America,Black Shark,748,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Middle East & Africa,Black Shark,599,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Asia,Other,16593,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Europe,Other,6866,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Latin America,Other,2861,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-03,Middle East & Africa,Other,2289,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Asia,Redmi,159022,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Europe,Redmi,65802,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Latin America,Redmi,27418,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Middle East & Africa,Redmi,21934,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Asia,Xiaomi Flagship,18753,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Europe,Xiaomi Flagship,7760,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Latin America,Xiaomi Flagship,3233,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Middle East & Africa,Xiaomi Flagship,2587,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Asia,POCO,26754,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Europe,POCO,11071,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Latin America,POCO,4613,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Middle East & Africa,POCO,3690,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Asia,Black Shark,4251,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Europe,Black Shark,1759,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Latin America,Black Shark,733,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Middle East & Africa,Black Shark,586,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Asia,Other,16252,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Europe,Other,6725,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Latin America,Other,2802,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-04,Middle East & Africa,Other,2242,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Asia,Redmi,143810,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Europe,Redmi,59508,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Latin America,Redmi,24795,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Middle East & Africa,Redmi,19836,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Asia,Xiaomi Flagship,16959,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Europe,Xiaomi Flagship,7017,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Latin America,Xiaomi Flagship,2924,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Middle East & Africa,Xiaomi Flagship,2339,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Asia,POCO,24194,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Europe,POCO,10012,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Latin America,POCO,4171,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Middle East & Africa,POCO,3337,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Asia,Black Shark,3844,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Europe,Black Shark,1591,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Latin America,Black Shark,663,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Middle East & Africa,Black Shark,530,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Asia,Other,14698,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Europe,Other,6082,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Latin America,Other,2534,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-05,Middle East & Africa,Other,2027,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Asia,Redmi,158879,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Europe,Redmi,65743,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Latin America,Redmi,27393,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Middle East & Africa,Redmi,21914,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Asia,Xiaomi Flagship,18736,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Europe,Xiaomi Flagship,7753,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Latin America,Xiaomi Flagship,3230,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Middle East & Africa,Xiaomi Flagship,2584,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Asia,POCO,26730,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Europe,POCO,11061,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Latin America,POCO,4609,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Middle East & Africa,POCO,3687,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Asia,Black Shark,4247,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Europe,Black Shark,1757,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Latin America,Black Shark,732,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Middle East & Africa,Black Shark,586,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Asia,Other,16238,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Europe,Other,6719,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Latin America,Other,2800,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-06,Middle East & Africa,Other,2240,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Asia,Redmi,148515,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Europe,Redmi,61454,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Latin America,Redmi,25606,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Middle East & Africa,Redmi,20485,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Asia,Xiaomi Flagship,17514,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Europe,Xiaomi Flagship,7247,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Latin America,Xiaomi Flagship,3020,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Middle East & Africa,Xiaomi Flagship,2416,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Asia,POCO,24986,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Europe,POCO,10339,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Latin America,POCO,4308,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Middle East & Africa,POCO,3446,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Asia,Black Shark,3970,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Europe,Black Shark,1643,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Latin America,Black Shark,684,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Middle East & Africa,Black Shark,548,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Asia,Other,15178,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Europe,Other,6281,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Latin America,Other,2617,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-07,Middle East & Africa,Other,2094,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Asia,Redmi,154219,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Europe,Redmi,63815,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Latin America,Redmi,26590,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Middle East & Africa,Redmi,21272,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Asia,Xiaomi Flagship,18186,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Europe,Xiaomi Flagship,7525,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Latin America,Xiaomi Flagship,3136,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Middle East & Africa,Xiaomi Flagship,2508,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Asia,POCO,25946,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Europe,POCO,10736,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Latin America,POCO,4473,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Middle East & Africa,POCO,3579,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Asia,Black Shark,4122,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Europe,Black Shark,1706,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Latin America,Black Shark,711,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Middle East & Africa,Black Shark,569,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Asia,Other,15761,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Europe,Other,6522,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Latin America,Other,2717,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-08,Middle East & Africa,Other,2174,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Asia,Redmi,147055,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Europe,Redmi,60850,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Latin America,Redmi,25354,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Middle East & Africa,Redmi,20283,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Asia,Xiaomi Flagship,17341,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Europe,Xiaomi Flagship,7176,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Latin America,Xiaomi Flagship,2990,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Middle East & Africa,Xiaomi Flagship,2392,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Asia,POCO,24740,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Europe,POCO,10237,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Latin America,POCO,4266,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Middle East & Africa,POCO,3412,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Asia,Black Shark,3931,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Europe,Black Shark,1627,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Latin America,Black Shark,678,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Middle East & Africa,Black Shark,542,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Asia,Other,15029,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Europe,Other,6219,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Latin America,Other,2591,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-09,Middle East & Africa,Other,2073,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Asia,Redmi,158896,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Europe,Redmi,65750,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Latin America,Redmi,27396,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Middle East & Africa,Redmi,21917,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Asia,Xiaomi Flagship,18738,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Europe,Xiaomi Flagship,7754,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Latin America,Xiaomi Flagship,3231,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Middle East & Africa,Xiaomi Flagship,2585,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Asia,POCO,26732,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Europe,POCO,11062,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Latin America,POCO,4609,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Middle East & Africa,POCO,3687,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Asia,Black Shark,4247,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Europe,Black Shark,1757,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Latin America,Black Shark,732,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Middle East & Africa,Black Shark,586,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Asia,Other,16239,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Europe,Other,6720,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Latin America,Other,2800,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-10,Middle East & Africa,Other,2240,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Asia,Redmi,148426,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Europe,Redmi,61418,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Latin America,Redmi,25591,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Middle East & Africa,Redmi,20473,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Asia,Xiaomi Flagship,17503,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Europe,Xiaomi Flagship,7243,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Latin America,Xiaomi Flagship,3018,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Middle East & Africa,Xiaomi Flagship,2414,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Asia,POCO,24971,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Europe,POCO,10333,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Latin America,POCO,4305,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Middle East & Africa,POCO,3444,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Asia,Black Shark,3967,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Europe,Black Shark,1642,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Latin America,Black Shark,684,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Middle East & Africa,Black Shark,547,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Asia,Other,15169,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Europe,Other,6277,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Latin America,Other,2615,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-11,Middle East & Africa,Other,2092,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Asia,Redmi,154688,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Europe,Redmi,64009,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Latin America,Redmi,26670,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Middle East & Africa,Redmi,21336,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Asia,Xiaomi Flagship,18242,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Europe,Xiaomi Flagship,7548,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Latin America,Xiaomi Flagship,3145,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Middle East & Africa,Xiaomi Flagship,2516,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Asia,POCO,26025,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Europe,POCO,10769,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Latin America,POCO,4487,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Middle East & Africa,POCO,3590,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Asia,Black Shark,4135,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Europe,Black Shark,1711,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Latin America,Black Shark,713,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Middle East & Africa,Black Shark,570,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Asia,Other,15809,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Europe,Other,6542,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Latin America,Other,2726,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-12,Middle East & Africa,Other,2181,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-13,Asia,Redmi,162312,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-13,Europe,Redmi,67164,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-13,Latin America,Redmi,27985,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-13,Middle East & Africa,Redmi,22388,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-13,Asia,Xiaomi Flagship,19141,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-13,Europe,Xiaomi Flagship,7920,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
2024-01-13,Latin America,Xiaomi Flagship,3300,Estimasi berbasis shipment Xiaomi 2024 dan struktur wilayah IDC
