Tanggal,Asia,Europe,Latin America,Middle East & Africa
2024-04-22,214427,88728,36970,29576
2024-04-23,243286,100671,41945,33557
2024-04-24,244741,101271,42197,33757
2024-04-25,218246,90309,37630,30104
2024-04-26,222609,92114,38380,30705
2024-04-27,216495,89584,37328,29861
2024-04-28,223580,92517,38548,30839
2024-04-29,241587,99967,41653,33323
2024-04-30,258365,106908,44545,35637
2024-05-01,222033,91874,38281,30625
2024-05-02,223783,92600,38584,30866
2024-05-03,265058,109680,45699,36561
2024-05-04,264758,109555,45648,36518
2024-05-05,224784,93014,38757,31005
2024-05-06,222458,92052,38354,30684
2024-05-07,256732,106234,44265,35411
2024-05-08,270291,111845,46601,37282
2024-05-09,247892,102576,42740,34191
2024-05-10,248406,102789,42829,34262
2024-05-11,225512,93315,38881,31105
2024-05-12,246909,102169,42571,34056
2024-05-13,251028,103873,43282,34624
2024-05-14,232024,96011,40005,32004
2024-05-15,264809,109576,45656,36525
2024-05-16,228757,94658,39442,31552
2024-05-17,257683,106628,44428,35543
2024-05-18,234280,96945,40393,32315
2024-05-19,230782,95496,39791,31832
2024-05-20,244948,101357,42232,33785
2024-05-21,234369,96981,40407,32327
2024-05-22,252232,104372,43488,34790
2024-05-23,263670,109105,45460,36369
2024-05-24,234910,97203,40501,32401
2024-05-25,245307,101506,42295,33836
2024-05-26,221465,91640,38184,30547
2024-05-27,241533,99945,41644,33315
2024-05-28,242176,100211,41756,33403
2024-05-29,230012,95178,39657,31726
2024-05-30,256180,106006,44169,35335
2024-05-31,238153,98545,41062,32847
2024-06-01,254379,105260,43858,35087
2024-06-02,245429,101557,42315,33852
2024-06-03,219368,90773,37823,30257
2024-06-04,250379,103606,43168,34535
2024-06-05,237505,98278,40947,32760
2024-06-06,245016,101386,42243,33795
2024-06-07,235573,97478,40616,32494
2024-06-08,221543,91673,38198,30557
2024-06-09,232796,96329,40138,32110
2024-06-10,227025,93941,39142,31313
2024-06-11,227952,94324,39301,31442
2024-06-12,232049,96021,40010,32007
2024-06-13,227575,94169,39237,31390
2024-06-14,263095,108866,45361,36288
2024-06-15,234603,97077,40449,32359
2024-06-16,234278,96942,40392,32314
2024-06-17,249879,103399,43083,34466
2024-06-18,245417,101551,42313,33850
2024-06-19,260436,107768,44902,35923
2024-06-20,257087,106381,44325,35461
2024-06-21,245204,101464,42276,33821
2024-06-22,228794,94673,39447,31558
2024-06-23,223324,92411,38505,30804
2024-06-24,244490,101169,42153,33723
2024-06-25,239901,99268,41362,33089
2024-06-26,220870,91394,38080,30464
2024-06-27,224230,92785,38660,30928
2024-06-28,260059,107612,44837,35871
2024-06-29,264695,109528,45637,36510
2024-06-30,229316,94888,39538,31629
2024-07-01,228825,94687,39452,31561
2024-07-02,229847,95109,39628,31703
2024-07-03,233989,96824,40343,32275
2024-07-04,236341,97797,40750,32600
2024-07-05,229913,95137,39640,31712
2024-07-06,240021,99319,41384,33106
2024-07-07,231221,95677,39866,31892
2024-07-08,219315,90751,37813,30250
2024-07-09,245237,101478,42283,33827
2024-07-10,221721,91747,38228,30583
2024-07-11,246852,102145,42561,34048
2024-07-12,233366,96565,40236,32188
2024-07-13,238261,98590,41080,32864
2024-07-14,233946,96805,40335,32268
2024-07-15,208576,86307,35961,28768
2024-07-16,246436,101974,42490,33991
2024-07-17,222131,91916,38298,30639
2024-07-18,219886,90987,37911,30329
2024-07-19,221609,91701,38210,30567
2024-07-20,212752,88035,36681,29344
2024-07-21,232757,96313,40130,32104
2024-07-22,212591,87968,36653,29323
2024-07-23,242792,100466,41861,33489
2024-07-24,208196,86149,35895,28716
2024-07-25,215417,89139,37141,29713
2024-07-26,232092,96038,40016,32013
2024-07-27,238758,98796,41165,32931
2024-07-28,243209,100639,41931,33547
2024-07-29,226682,93800,39084,31267
2024-07-30,214765,88868,37028,29623
2024-07-31,241413,99896,41624,33299
2024-08-01,226246,93618,39008,31206
2024-08-02,220536,91257,38024,30419
2024-08-03,235828,97585,40660,32528
2024-08-04,211184,87386,36411,29128
2024-08-05,244702,101256,42190,33753
2024-08-06,235408,97410,40587,32469
2024-08-07,227667,94207,39253,31402
2024-08-08,223714,92572,38572,30858
2024-08-09,219123,90673,37781,30224
2024-08-10,223867,92635,38598,30878
2024-08-11,220247,91136,37974,30380
2024-08-12,222701,92152,38397,30717
2024-08-13,256152,105993,44164,35330
2024-08-14,214057,88575,36907,29524
2024-08-15,249328,103171,42988,34391
2024-08-16,233878,96777,40323,32258
2024-08-17,237994,98480,41033,32828
2024-08-18,222804,92195,38414,30732
2024-08-19,222394,92025,38343,30674
2024-08-20,254585,105345,43894,35115
2024-08-21,233614,96669,40279,32223
2024-08-22,228526,94561,39400,31520
2024-08-23,226193,93598,39000,31198
2024-08-24,244666,101241,42184,33746
2024-08-25,255932,105903,44126,35302
2024-08-26,214809,88887,37036,29630
2024-08-27,216348,89523,37302,29842
2024-08-28,232754,96312,40130,32104
2024-08-29,231513,95799,39916,31932
2024-08-30,221375,91604,38169,30535
2024-08-31,241493,99928,41636,33310
2024-09-01,253724,104989,43744,34997
2024-09-02,236827,97998,40833,32666
2024-09-03,238030,98495,41039,32831
2024-09-04,264075,109272,45530,36424
2024-09-05,248495,102825,42843,34274
2024-09-06,274037,113395,47246,37799
2024-09-07,238028,98493,41039,32831
2024-09-08,231516,95799,39917,31932
2024-09-09,264921,109623,45676,36540
2024-09-10,238940,98872,41196,32957
2024-09-11,256487,106132,44221,35377
2024-09-12,229540,94981,39576,31660
2024-09-13,274116,113427,47261,37809
2024-09-14,233445,96598,40249,32199
2024-09-15,241923,100106,41711,33369
2024-09-16,277163,114688,47786,38230
2024-09-17,246692,102079,42533,34026
2024-09-18,259267,107282,44700,35761
2024-09-19,237266,98179,40907,32727
2024-09-20,250486,103650,43187,34550
2024-09-21,277647,114889,47869,38296
2024-09-22,247140,102265,42610,34089
2024-09-23,239052,98917,41217,32973
2024-09-24,238211,98570,41071,32857
2024-09-25,273030,112979,47075,37659
2024-09-26,254169,105173,43823,35057
2024-09-27,230387,95332,39721,31777
2024-09-28,239905,99271,41363,33091
2024-09-29,258747,107068,44613,35690
2024-09-30,255442,105701,44042,35234
2024-10-01,265313,109785,45744,36595
2024-10-02,262315,108543,45226,36181
2024-10-03,261939,108387,45161,36128
2024-10-04,281961,116673,48614,38892
2024-10-05,250466,103642,43185,34547
2024-10-06,284704,117808,49087,39270
2024-10-07,289206,119672,49863,39890
2024-10-08,288233,119269,49695,39756
2024-10-09,262718,108711,45296,36237
2024-10-10,262087,108448,45188,36150
2024-10-11,276220,114299,47625,38101
2024-10-12,252596,104523,43551,34840
2024-10-13,243655,100823,42010,33608
2024-10-14,263682,109109,45463,36370
2024-10-15,255230,105613,44005,35205
2024-10-16,287100,118800,49500,39600
2024-10-17,238643,98748,41146,32916
2024-10-18,261721,108299,45124,36099
2024-10-19,264910,109618,45674,36539
2024-10-20,266350,110214,45923,36738
2024-10-21,253311,104818,43674,34939
2024-10-22,250365,103599,43166,34533
2024-10-23,286066,118372,49322,39457
2024-10-24,272563,112785,46994,37595
2024-10-25,267729,110785,46161,36928
2024-10-26,268368,111048,46271,37016
2024-10-27,260173,107657,44857,35885
2024-10-28,289593,119832,49930,39944
2024-10-29,256046,105950,44146,35317
2024-10-30,262723,108712,45297,36237
2024-10-31,240936,99697,41541,33232
2024-11-01,247565,102442,42684,34148
2024-11-02,276907,114582,47743,38193
2024-11-03,258997,107170,44654,35724
2024-11-04,275347,113937,47474,37978
2024-11-05,255584,105758,44066,35253
2024-11-06,264839,109588,45663,36529
2024-11-07,274699,113668,47363,37889
2024-11-08,249602,103283,43034,34427
2024-11-09,269899,111683,46534,37227
2024-11-10,272531,112772,46989,37591
2024-11-11,246199,101876,42449,33958
2024-11-12,255641,105782,44076,35261
2024-11-13,254568,105339,43891,35113
2024-11-14,278811,115369,48071,38456
2024-11-15,277840,114968,47904,38323
2024-11-16,261333,108137,45058,36045
2024-11-17,256213,106020,44174,35340
2024-11-18,263522,109043,45434,36348
2024-11-19,273249,113069,47112,37690
2024-11-20,253817,105028,43763,35008
2024-11-21,266923,110450,46021,36816
2024-11-22,278636,115298,48040,38433
2024-11-23,245698,101667,42361,33889
2024-11-24,276686,114492,47704,38163
2024-11-25,294450,121841,50768,40613
2024-11-26,281172,116348,48479,38783
2024-11-27,244850,101318,42215,33772
2024-11-28,246861,102147,42562,34049
2024-11-29,248103,102664,42777,34222
2024-11-30,257251,106450,44353,35484
2024-12-01,296714,122778,51157,40927
2024-12-02,248146,102682,42784,34227
2024-12-03,300221,124229,51763,41410
2024-12-04,257486,106547,44395,35516
2024-12-05,249275,103148,42979,34382
2024-12-06,261347,108143,45059,36048
2024-12-07,297563,123130,51303,41043
2024-12-08,288657,119445,49768,39816
2024-12-09,284819,117856,49107,39286
2024-12-10,273505,113175,47157,37726
2024-12-11,261960,108398,45166,36134
2024-12-12,289862,119944,49977,39981
2024-12-13,297293,123017,51257,41006
2024-12-14,276975,114610,47754,38204
2024-12-15,279346,115591,48163,38531
2024-12-16,255139,105575,43990,35193
2024-12-17,249934,103421,43092,34474
2024-12-18,285965,118330,49305,39443
2024-12-19,291914,120793,50331,40264
2024-12-20,287830,119102,49625,39700
2024-12-21,259404,107340,44725,35780
2024-12-22,288689,119457,49775,39819
2024-12-23,286525,118563,49401,39521
2024-12-24,288579,119412,49754,39804
2024-12-25,289209,119673,49863,39891
2024-12-26,266633,110330,45970,36777
2024-12-27,262271,108527,45219,36176
2024-12-28,292934,121214,50507,40405
2024-12-29,248240,102720,42799,34240
2024-12-30,272736,112856,47024,37619
